"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Leftover Capture Data","Info"
"39","7.095895","1.2.1","host","USB","72","0000090000000000","0000090000000000","URB_INTERRUPT in"
"41","7.183836","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"43","7.751881","1.2.1","host","USB","72","0000150000000000","0000150000000000","URB_INTERRUPT in"
"45","7.831887","1.2.1","host","USB","72","0000150c00000000","0000150c00000000","URB_INTERRUPT in"
"47","7.839833","1.2.1","host","USB","72","00000c0000000000","00000c0000000000","URB_INTERRUPT in"
"49","7.951877","1.2.1","host","USB","72","0000160000000000","0000160000000000","URB_INTERRUPT in"
"55","8.047885","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"57","8.087890","1.2.1","host","USB","72","00000e0000000000","00000e0000000000","URB_INTERRUPT in"
"59","8.199885","1.2.1","host","USB","72","0000040000000000","0000040000000000","URB_INTERRUPT in"
"61","8.279814","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"63","8.335874","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"65","8.455879","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"67","8.671877","1.2.1","host","USB","72","00000c0000000000","00000c0000000000","URB_INTERRUPT in"
"69","8.735895","1.2.1","host","USB","72","00000c1600000000","00000c1600000000","URB_INTERRUPT in"
"71","8.791826","1.2.1","host","USB","72","0000160000000000","0000160000000000","URB_INTERRUPT in"
"73","8.839883","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"75","8.855827","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"77","8.943841","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"83","9.087878","1.2.1","host","USB","72","0000170000000000","0000170000000000","URB_INTERRUPT in"
"85","9.183888","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"87","9.199884","1.2.1","host","USB","72","00000b0000000000","00000b0000000000","URB_INTERRUPT in"
"89","9.319873","1.2.1","host","USB","72","00000b0800000000","00000b0800000000","URB_INTERRUPT in"
"91","9.327833","1.2.1","host","USB","72","0000080000000000","0000080000000000","URB_INTERRUPT in"
"93","9.407812","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"95","9.431886","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"97","9.543880","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"99","9.655878","1.2.1","host","USB","72","0000090000000000","0000090000000000","URB_INTERRUPT in"
"101","9.759875","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"103","9.767877","1.2.1","host","USB","72","0000040000000000","0000040000000000","URB_INTERRUPT in"
"105","9.855882","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"115","10.215809","1.2.1","host","USB","72","0000160000000000","0000160000000000","URB_INTERRUPT in"
"117","10.295846","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"119","10.375848","1.2.1","host","USB","72","0000170000000000","0000170000000000","URB_INTERRUPT in"
"121","10.511894","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"123","10.519835","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"125","10.615868","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"131","11.391858","1.2.1","host","USB","72","0000160000000000","0000160000000000","URB_INTERRUPT in"
"133","11.487864","1.2.1","host","USB","72","0000160800000000","0000160800000000","URB_INTERRUPT in"
"135","11.495821","1.2.1","host","USB","72","0000080000000000","0000080000000000","URB_INTERRUPT in"
"137","11.591861","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"139","11.711855","1.2.1","host","USB","72","0000060000000000","0000060000000000","URB_INTERRUPT in"
"141","11.815869","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"143","11.927862","1.2.1","host","USB","72","0000170000000000","0000170000000000","URB_INTERRUPT in"
"149","12.023824","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"151","12.039866","1.2.1","host","USB","72","00000c0000000000","00000c0000000000","URB_INTERRUPT in"
"153","12.103822","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"155","12.431852","1.2.1","host","USB","72","0000120000000000","0000120000000000","URB_INTERRUPT in"
"157","12.519799","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"159","12.655854","1.2.1","host","USB","72","0000110000000000","0000110000000000","URB_INTERRUPT in"
"161","12.743786","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"167","13.567857","1.2.1","host","USB","72","00002a0000000000","00002a0000000000","URB_INTERRUPT in"
"169","13.623828","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"171","13.695843","1.2.1","host","USB","72","00002a0000000000","00002a0000000000","URB_INTERRUPT in"
"173","13.775854","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"175","13.839856","1.2.1","host","USB","72","00002a0000000000","00002a0000000000","URB_INTERRUPT in"
"177","13.919846","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"183","14.463847","1.2.1","host","USB","72","00000c0000000000","00000c0000000000","URB_INTERRUPT in"
"185","14.559850","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"187","14.623856","1.2.1","host","USB","72","0000120000000000","0000120000000000","URB_INTERRUPT in"
"189","14.711856","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"191","14.815847","1.2.1","host","USB","72","0000110000000000","0000110000000000","URB_INTERRUPT in"
"193","14.911809","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"195","14.951785","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"201","15.055778","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"207","16.055837","1.2.1","host","USB","72","0000120000000000","0000120000000000","URB_INTERRUPT in"
"209","16.127834","1.2.1","host","USB","72","0000120900000000","0000120900000000","URB_INTERRUPT in"
"211","16.151768","1.2.1","host","USB","72","0000090000000000","0000090000000000","URB_INTERRUPT in"
"213","16.223832","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"215","16.255839","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"217","16.351811","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"219","16.391842","1.2.1","host","USB","72","0000170000000000","0000170000000000","URB_INTERRUPT in"
"221","16.503794","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"223","16.519796","1.2.1","host","USB","72","00000b0000000000","00000b0000000000","URB_INTERRUPT in"
"225","16.631773","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"227","16.639763","1.2.1","host","USB","72","0000080000000000","0000080000000000","URB_INTERRUPT in"
"229","16.767844","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"231","16.783843","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"233","16.871836","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"239","18.007775","1.2.1","host","USB","72","0000060000000000","0000060000000000","URB_INTERRUPT in"
"245","18.119821","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"247","18.319825","1.2.1","host","USB","72","0000160000000000","0000160000000000","URB_INTERRUPT in"
"249","18.407757","1.2.1","host","USB","72","0000160400000000","0000160400000000","URB_INTERRUPT in"
"251","18.479833","1.2.1","host","USB","72","0000040000000000","0000040000000000","URB_INTERRUPT in"
"253","18.511826","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"255","18.687823","1.2.1","host","USB","72","0000150000000000","0000150000000000","URB_INTERRUPT in"
"257","18.783820","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"259","18.943751","1.2.1","host","USB","72","0000070000000000","0000070000000000","URB_INTERRUPT in"
"265","19.039784","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"267","19.247786","1.2.1","host","USB","72","0000040000000000","0000040000000000","URB_INTERRUPT in"
"269","19.383795","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"271","19.391791","1.2.1","host","USB","72","0000160000000000","0000160000000000","URB_INTERRUPT in"
"273","19.471750","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"275","19.583810","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"277","19.687763","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"279","19.855809","1.2.1","host","USB","72","0000040000000000","0000040000000000","URB_INTERRUPT in"
"281","19.951825","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"283","19.975813","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"289","20.063746","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"295","21.359758","1.2.1","host","USB","72","00000b0000000000","00000b0000000000","URB_INTERRUPT in"
"297","21.455762","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"299","21.535807","1.2.1","host","USB","72","0000180000000000","0000180000000000","URB_INTERRUPT in"
"301","21.623811","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"303","21.743769","1.2.1","host","USB","72","0000110000000000","0000110000000000","URB_INTERRUPT in"
"305","21.839810","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"311","22.071777","1.2.1","host","USB","72","00000a0000000000","00000a0000000000","URB_INTERRUPT in"
"313","22.215815","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"315","22.239799","1.2.1","host","USB","72","0000040000000000","0000040000000000","URB_INTERRUPT in"
"317","22.327795","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"319","22.663730","1.2.1","host","USB","72","0000150000000000","0000150000000000","URB_INTERRUPT in"
"321","22.767802","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"323","22.823742","1.2.1","host","USB","72","00000c0000000000","00000c0000000000","URB_INTERRUPT in"
"325","22.919730","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"327","22.999807","1.2.1","host","USB","72","0000040000000000","0000040000000000","URB_INTERRUPT in"
"333","23.079807","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"335","23.207800","1.2.1","host","USB","72","0000110000000000","0000110000000000","URB_INTERRUPT in"
"337","23.303797","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"339","23.639734","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"341","23.719765","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"343","23.983723","1.2.1","host","USB","72","0000090000000000","0000090000000000","URB_INTERRUPT in"
"349","24.095753","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"351","24.415780","1.2.1","host","USB","72","0000120000000000","0000120000000000","URB_INTERRUPT in"
"353","24.495749","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"355","24.767782","1.2.1","host","USB","72","00000f0000000000","00000f0000000000","URB_INTERRUPT in"
"357","24.863717","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"363","25.031720","1.2.1","host","USB","72","00000e0000000000","00000e0000000000","URB_INTERRUPT in"
"365","25.135720","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"367","25.335789","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"369","25.431786","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"371","25.559713","1.2.1","host","USB","72","0000070000000000","0000070000000000","URB_INTERRUPT in"
"373","25.607784","1.2.1","host","USB","72","0000070400000000","0000070400000000","URB_INTERRUPT in"
"375","25.695774","1.2.1","host","USB","72","0000040000000000","0000040000000000","URB_INTERRUPT in"
"377","25.711756","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"379","25.903735","1.2.1","host","USB","72","0000110000000000","0000110000000000","URB_INTERRUPT in"
"381","26.015740","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"387","26.263716","1.2.1","host","USB","72","0000060000000000","0000060000000000","URB_INTERRUPT in"
"389","26.343780","1.2.1","host","USB","72","0000060800000000","0000060800000000","URB_INTERRUPT in"
"391","26.415771","1.2.1","host","USB","72","0000080000000000","0000080000000000","URB_INTERRUPT in"
"393","26.471783","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"395","26.535771","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"397","26.631718","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"399","26.831769","1.2.1","host","USB","72","0000120000000000","0000120000000000","URB_INTERRUPT in"
"401","26.943766","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"403","27.015775","1.2.1","host","USB","72","0000150000000000","0000150000000000","URB_INTERRUPT in"
"409","27.135715","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"411","27.175774","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"413","27.271770","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"419","28.375763","1.2.1","host","USB","72","0000120000000000","0000120000000000","URB_INTERRUPT in"
"421","28.487768","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"423","28.503704","1.2.1","host","USB","72","0000090000000000","0000090000000000","URB_INTERRUPT in"
"425","28.607730","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"427","28.647735","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"429","28.767776","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"435","29.567766","1.2.1","host","USB","72","0000100000000000","0000100000000000","URB_INTERRUPT in"
"437","29.695761","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"439","29.871692","1.2.1","host","USB","72","0000120000000000","0000120000000000","URB_INTERRUPT in"
"441","29.967711","1.2.1","host","USB","72","0000121600000000","0000121600000000","URB_INTERRUPT in"
"443","29.983749","1.2.1","host","USB","72","0000160000000000","0000160000000000","URB_INTERRUPT in"
"449","30.039764","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"451","30.167760","1.2.1","host","USB","72","0000170000000000","0000170000000000","URB_INTERRUPT in"
"453","30.279696","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"455","30.303711","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"457","30.399694","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"467","32.247745","1.2.1","host","USB","72","0000120000000000","0000120000000000","URB_INTERRUPT in"
"469","32.343752","1.2.1","host","USB","72","0000120900000000","0000120900000000","URB_INTERRUPT in"
"471","32.383673","1.2.1","host","USB","72","0000090000000000","0000090000000000","URB_INTERRUPT in"
"473","32.463682","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"475","32.471745","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"477","32.591674","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"479","32.983744","1.2.1","host","USB","72","00000f0000000000","00000f0000000000","URB_INTERRUPT in"
"485","33.087743","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"487","33.191748","1.2.1","host","USB","72","00000c0000000000","00000c0000000000","URB_INTERRUPT in"
"489","33.303734","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"491","33.399730","1.2.1","host","USB","72","0000160000000000","0000160000000000","URB_INTERRUPT in"
"493","33.519745","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"495","33.815744","1.2.1","host","USB","72","00001d0000000000","00001d0000000000","URB_INTERRUPT in"
"497","33.927672","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"503","34.087732","1.2.1","host","USB","72","0000170000000000","0000170000000000","URB_INTERRUPT in"
"505","34.191735","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"507","34.567724","1.2.1","host","USB","72","00002c0000000000","00002c0000000000","URB_INTERRUPT in"
"509","34.655670","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"515","35.303730","1.2.1","host","USB","72","00000b0000000000","00000b0000000000","URB_INTERRUPT in"
"517","35.399730","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"519","35.463676","1.2.1","host","USB","72","0000180000000000","0000180000000000","URB_INTERRUPT in"
"521","35.567726","1.2.1","host","USB","72","0000000000000000","0000000000000000","URB_INTERRUPT in"
"523","35.655714","1.2.1","host","USB","72","0000110000000000","0000110000000000","URB_INTERRUPT in"
"525","35.759714","1.2.1","host","USB","72","0000110a00000000","0000110a00000000","URB_INTERRUPT in"
"527","35.767666","1.2.1","host","USB","72","00000a0000000000","00000a0000000000","URB_INTERRUPT in"
